Names,Formula,CAS No,SMILES,Reference,Exp logp,C,H,N,O,S,P,F,Cl,Br,I,,,
dimethoxy-(3-methyl-4-methylsulfanylphenoxy)-sulfanylidenephosphorane,C10H15O3P1S2,000055-38-9,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,"hansch,c et al. (1995) ",4.09,10,15,0,3,2,1,0,0,0,0,,16,
chlorhexidine,C22H30Cl2N10,000055-56-1,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,"hansch,c et al. (1995); ionized ph 5 ",0.08,22,30,10,0,0,0,0,2,0,0,,34,
"1,3-dinitrooxypropan-2-yl nitrate",C3H5N3O9,000055-63-0,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,"hansch,c et al. (1995) ",1.62,3,5,3,9,0,0,0,0,0,0,,15,
2-(fluoro-propan-2-yloxyphosphoryl)oxypropane,C6H14F1O3P1,000055-91-4,CC(C)O[P](F)(=O)OC(C)C,"czerwinski,se et al. (1998) ",1.17,6,14,0,3,0,1,1,0,0,0,,11,
4-methylsulfonyloxybutyl methanesulfonate,C6H14O6S2,000055-98-1,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,"hansch,c et al. (1995) ",-0.52,6,14,0,6,2,0,0,0,0,0,,14,
4-aminobutanoic acid,C4H9N1O2,000056-12-2,NCCCC(O)=O,"hansch,c et al. (1995) ",-3.17,4,9,1,2,0,0,0,0,0,0,,7,
carbon tetrachloride,C1Cl4,000056-23-5,ClC(Cl)(Cl)Cl,"hansch,c et al. (1995) ",2.83,1,0,0,0,0,0,0,4,0,0,,5,
diethoxy-(4-nitrophenoxy)-sulfanylidenephosphorane,C10H14N1O5P1S1,000056-38-2,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,"hansch,c et al. (1995) ",3.83,10,14,1,5,1,1,0,0,0,0,,18,
2-aminoacetic acid,C2H5N1O2,000056-40-6,NCC(O)=O,"hansch,c et al. (1995) ",-3.21,2,5,1,2,0,0,0,0,0,0,,5,
2-aminopropanoic acid,C3H7N1O2,000302-72-7,CC(N)C(O)=O,"hansch,c et al. (1995) ",-2.96,3,7,1,2,0,0,0,0,0,0,,6,
2-amino-3-hydroxypropanoic acid,C3H7N1O3,000056-45-1,NC(CO)C(O)=O,"hansch,c et al. (1995) ",-3.07,3,7,1,3,0,0,0,0,0,0,,7,
"[2-(10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate",C23H32O4,000056-47-3,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"hansch,c et al. (1995) ",3.08,23,32,0,4,0,0,0,0,0,0,,27,
des,C18H20O2,000056-53-1,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2,"hansch,c et al. (1995) ",5.07,18,20,0,2,0,0,0,0,0,0,,20,
(5-ethenyl-1-azabicyclo[2.2.2]octan-7-yl)-(6-methoxyquinolin-4-yl)methanol,C20H24N2O2,000130-95-0,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1,"hansch,c et al. (1995) ",3.44,20,24,2,2,0,0,0,0,0,0,,24,
benzo[a]anthracene,C18H12,000056-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1,"wang,l et al. (1986) ",5.76,18,12,0,0,0,0,0,0,0,0,,18,
coumaphos,C14H16Cl1O5P1S1,000056-72-4,CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,"tomlin,c (1994) ",4.13,14,16,0,5,1,1,0,1,0,0,,22,
chloramphenicol,C11H12Cl2N2O5,000056-75-7,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,"hansch,c et al. (1995) ",1.14,11,12,2,5,0,0,0,2,0,0,,20,
"propane-1,2,3-triol",C3H8O3,000056-81-5,OCC(O)CO,"hansch,c et al. (1995) ",-1.76,3,8,0,3,0,0,0,0,0,0,,6,
2-aminobutanedioic acid,C4H7N1O4,000056-84-8,NC(CC(O)=O)C(O)=O,"chmelik,j et al. (1991) ",-3.89,4,7,1,4,0,0,0,0,0,0,,9,
"2,5-diamino-5-oxopentanoic acid",C5H10N2O3,000056-85-9,NC(CCC(N)=O)C(O)=O,"chmelik,j et al. (1991) ",-3.64,5,10,2,3,0,0,0,0,0,0,,10,
